,id,county,state_pm,abs_pm,latitude,longitude,lanes
855,401614,1,12.55,22.776999999999997,37.592634999999994,-122.056711,4
856,401615,1,0.98,0.971,37.810407,-122.275345,3
857,401616,41,18.24,459.51300000000003,38.069425,-122.53864399999999,5
858,401617,13,14.49,14.224,38.004605,-122.03855300000001,4
859,401621,1,23.2,33.427,37.713988,-122.171625,6
860,401624,41,8.85,450.12300000000005,37.947043,-122.51350500000001,4
861,401629,1,23.2,33.427,37.714115,-122.171416,5
862,401631,81,17.99,420.213,37.602959999999996,-122.381221,4
863,401634,81,17.87,420.093,37.601853000000006,-122.379526,5
864,401636,95,0.23,27.701999999999998,38.064357,-122.226272,4
865,401637,1,0.04,10.542,37.4562,-121.923217,5
866,401638,95,0.47,27.941999999999997,38.067752,-122.226796,4
867,401639,1,4.84,15.067,37.508725,-121.968989,4
868,401642,85,10.21,10.21,37.451227,-121.92221799999999,6
869,401643,1,0.05,10.552,37.456421999999996,-121.92306699999999,5
870,401646,13,13.931,27.264,38.058015000000005,-122.22563500000001,4
871,401649,81,3.66,405.88300000000004,37.483737,-122.18203700000001,4
872,401651,81,7.87,410.093,37.508175,-122.24976200000002,4
873,401652,81,7.84,410.027,37.507979999999996,-122.249252,4
874,401653,81,3.65,405.837,37.483810999999996,-122.181671,4
875,401655,85,0.48,0.48,37.335596,-121.858919,5
876,401657,1,2.62,7.93,37.825581,-122.30279399999999,4
877,401658,85,24.38,373.651,37.220762,-121.73473200000001,4
878,401660,85,17.77,367.041,37.152456,-121.65189,3
879,401661,85,22.29,371.597,37.200086,-121.70738600000001,4
880,401662,85,21.45,370.721,37.19253,-121.695462,4
881,401663,85,17.96,367.231,37.154637,-121.653989,4
882,401665,85,0.03,72.102,36.948171,-121.5126,1
883,401666,85,0.56,72.632,36.950307,-121.521775,1
884,401668,85,17.97,367.277,37.154503000000005,-121.654348,3
885,401669,85,24.38,373.68699999999995,37.220499,-121.734981,4
886,401670,85,22.37,371.64099999999996,37.201089,-121.70823500000002,4
887,401671,1,3.17,8.48,37.828559000000006,-122.294113,3
888,401673,13,12.665999999999999,25.999000000000002,38.044371999999996,-122.239337,4
889,401674,85,0.03,72.102,36.948171,-121.5126,1
890,401677,85,0.9,72.972,36.9526,-121.52711299999999,1
891,401678,85,0.9,72.972,36.952601,-121.52711399999998,1
892,401679,85,0.56,72.632,36.950307,-121.521774,1
893,401680,85,2.1,74.172,36.962635,-121.54368000000001,1
894,401681,13,3.3,7.648,37.890212,-122.17369,5
895,401682,85,1.1,73.172,36.954824,-121.52944,1
896,401683,13,4.3,8.648,37.892590999999996,-122.156901,5
897,401684,13,7.51,11.857999999999999,37.897341,-122.099019,4
898,401685,85,2.1,74.172,36.962635,-121.54368000000001,1
899,401686,1,15.0,14.823,37.688902,-122.10683700000001,3
900,401687,13,1.41,5.757999999999999,37.868707,-122.194653,4
901,401688,85,1.1,73.172,36.954824,-121.52944,1
902,401689,13,3.07,7.417999999999999,37.888027,-122.177148,5
903,401691,85,6.12,355.42699999999996,37.003565,-121.556793,3
904,401692,13,7.49,11.838,37.897512,-122.10033999999999,4
905,401693,95,9.53,19.023,38.137569,-122.256176,2
906,401694,95,9.79,19.283,38.140282,-122.25311699999999,3
907,401695,1,20.64,36.672,37.701171,-121.921149,4
908,401696,95,9.49,18.983,38.137096,-122.25669199999999,2
909,401697,1,20.14,30.148000000000003,37.708575,-121.92765,5
910,401698,1,3.68,8.99,37.836566,-122.29613799999998,5
911,401699,95,10.2,19.692999999999998,38.141954,-122.246347,2
912,401700,95,9.79,19.283,38.140335,-122.25305700000001,2
913,401701,95,10.2,19.692999999999998,38.14186,-122.246347,2
914,401702,95,8.24,17.739,38.123781,-122.271749,2
915,401703,95,8.24,17.739,38.123853000000004,-122.27179299999999,2
916,401704,95,7.92,17.419,38.121697,-122.277273,2
917,401705,1,20.29,30.346999999999998,37.710471999999996,-121.92964099999999,3
918,401706,95,7.92,17.419,38.121596999999994,-122.27723,2
919,401708,1,32.78,43.007,37.801951,-122.295247,4
920,401710,1,29.1,39.327,37.779393,-122.238114,4
921,401714,1,31.9,42.126999999999995,37.800363,-122.279928,4
922,401716,1,13.78,24.006999999999998,37.607966999999995,-122.067645,4
923,401718,13,21.11,52.775,37.993646999999996,-122.068919,5
924,401720,13,21.9,53.615,38.002087,-122.078951,5
925,401722,1,21.15,31.206999999999997,37.720856,-121.938337,6
926,401724,13,10.25,41.623000000000005,37.849917,-122.028521,4
927,401728,97,13.9,481.934,38.348778,-122.71316999999999,2
928,401734,13,17.82,49.373000000000005,37.947268,-122.05748899999999,6
929,401742,13,19.0,50.507,37.963414,-122.05443600000001,4
930,401744,13,10.25,41.658,37.84987,-122.028746,4
