id,timestamp_,description,area,latitude,longitude,district,freeway,direction,postmile_state,postmile_abs,duration
18452385,2019-01-01 11:13:00,1125-Traffic Hazard,Contra Costa,38.051224,-122.22936599999998,4,80,E,13.354,26.7,18.0
18452391,2019-01-01 11:19:00,1125-Traffic Hazard,Marin,37.932466,-122.40333400000002,4,580,W,6.253,70.0,3.0
18452406,2019-01-01 11:32:00,1125-Traffic Hazard,San Jose,37.372618,-121.923345,4,101,S,39.626,389.3,29.0
18452407,2019-01-01 11:31:00,1125-Traffic Hazard,San Francisco,37.808253,-122.366974,4,80,E,7.64,4.1,9.0
18452412,2019-01-01 11:34:00,1125-Traffic Hazard,Redwood City,37.509953,-122.25146299999999,4,101,N,8.013,410.2,3.0
18452442,2019-01-01 11:54:00,1125-Traffic Hazard,Santa Rosa,38.411827,-122.71613300000001,4,101,S,18.551,486.3,2.0
18452450,2019-01-01 12:00:00,1125A-Animal Hazard,Santa Rosa,38.804860999999995,-123.012555,4,101,S,R52.168,520.0,0.0
18452451,2019-01-01 11:57:00,FIRE-Report of Fire,Santa Rosa,38.663927,-122.87624299999999,4,101,S,R39.168,507.0,3.0
18452455,2019-01-01 12:07:00,1125-Traffic Hazard,Santa Rosa,38.389492,-122.71623500000001,4,101,S,17.051,484.8,6.0
18452463,2019-01-01 12:09:00,FIRE-Report of Fire,Contra Costa,38.00229,-122.047248,4,4,E,R14,13.720999999999998,29.0
18452464,2019-01-01 12:08:00,1183-Trfc Collision-Unkn Inj,Oakland,37.789339,-122.254281,4,880,N,30.273,40.5,34.0
18452468,2019-01-01 12:16:00,1179-Trfc Collision-1141 Enrt,Solano,38.060889,-122.225017,4,80,E,0.015,27.5,68.0
18452475,2019-01-01 12:20:00,1179-Trfc Collision-1141 Enrt,Hollister Gilroy,37.085621,-121.597401,4,101,N,R12.229,361.5,94.0
18452476,2019-01-01 12:18:00,1125-Traffic Hazard,Solano,38.41405,-121.900075,4,80,E,32.42,59.9,4.0
18452498,2019-01-01 12:36:00,1125-Traffic Hazard,Oakland,37.872997999999995,-122.305833,4,80,W,6.29,11.6,33.0
18452507,2019-01-01 12:42:00,20002-Hit and Run No Injuries,Castro Valley,37.688010999999996,-122.09629,4,580,E,R30.634,46.7,14.0
18452508,2019-01-01 12:04:00,1125-Traffic Hazard,Santa Rosa,38.217526,-122.604064,4,101,S,2.651,470.4,88.0
18452515,2019-01-01 12:47:00,1125-Traffic Hazard,Santa Rosa,38.622663,-122.87828600000002,4,101,N,36.754,504.7,5.0
18452521,2019-01-01 12:50:00,1125-Traffic Hazard,Contra Costa,38.025278,-122.11173600000001,4,680,S,24.375,56.038000000000004,1.0
18452522,2019-01-01 12:48:00,1183-Trfc Collision-Unkn Inj,San Jose,37.261546,-121.80015300000001,4,101,S,R28.992,378.3,4.0
18452529,2019-01-01 12:57:00,1182-Trfc Collision-No Inj,Dublin,37.694396999999995,-121.920222,4,680,S,R19.609,29.136999999999997,4.0
18452562,2019-01-01 13:17:00,1125-Traffic Hazard,Dublin,37.707012,-121.72823100000001,4,580,E,9.816,26.0,28.0
18452563,2019-01-01 13:16:00,1125-Traffic Hazard,San Jose,37.290490000000005,-121.87113400000001,4,87,N,2.574,2.57,19.0
18452583,2019-01-01 13:23:00,CFIRE-Car Fire,Contra Costa,37.947685,-121.74388200000001,4,4,E,R33.94,33.593,30.0
18452592,2019-01-01 13:30:00,1125-Traffic Hazard,Marin,37.854962,-122.493692,4,101,S,2.08,442.4,8.0
18452604,2019-01-01 13:41:00,ANIMAL-Live or Dead Animal,Solano,38.086268,-122.21426399999999,4,780,E,6.182,5.5,3.0
18452613,2019-01-01 13:44:00,1125-Traffic Hazard,Marin,37.807233000000004,-122.475569,4,101,S,10.157,438.8,34.0
18452624,2019-01-01 13:49:00,1182-Trfc Collision-No Inj,Santa Rosa,38.415911,-122.715905,4,101,N,19.347,487.3,192.0
18452630,2019-01-01 13:54:00,1125-Traffic Hazard,Oakland,37.89741,-122.311741,4,580,W,0.105,63.9,5.0
18452631,2019-01-01 13:53:00,1183-Trfc Collision-Unkn Inj,Santa Rosa,38.593452,-122.84997800000001,4,101,N,34.054,502.0,27.0
18452644,2019-01-01 14:06:00,1125-Traffic Hazard,Solano,38.443000000000005,-121.862136,4,80,E,35.22,62.7,21.0
18452645,2019-01-01 14:03:00,1125-Traffic Hazard,Redwood City,37.588181,-122.357405,4,101,N,16.313,418.5,16.0
18452653,2019-01-01 14:10:00,1182-Trfc Collision-No Inj,San Jose,37.374689000000004,-121.93221100000001,4,101,S,40.126,389.8,20.0
18452661,2019-01-01 14:11:00,1125-Traffic Hazard,Marin,37.807210999999995,-122.475284,4,101,N,10.453,439.3,14.0
18452696,2019-01-01 14:34:00,1125-Traffic Hazard,Marin,37.83374,-122.483053,4,101,N,0.876,441.4,2.0
18452705,2019-01-01 14:41:00,1183-Trfc Collision-Unkn Inj,Oakland,37.837998,-122.296702,4,80,E,3.89,9.2,13.0
18452712,2019-01-01 14:47:00,1125-Traffic Hazard,San Jose,37.317935,-121.98048200000001,4,280,S,6.218,7.6,9.0
18452727,2019-01-01 15:03:00,1125A-Animal Hazard,Santa Rosa,38.429638,-122.745682,4,12,E,R14.23,5.0,3.0
18452729,2019-01-01 15:00:00,1182-Trfc Collision-No Inj,Redwood City,37.505033000000005,-122.358383,4,92,W,6.5,6.5,44.0
