,id,county,state_pm,abs_pm,latitude,longitude,lanes,weather_station_id
161,7054,13,18.94,18.674,38.022118,-121.962342,4,23254
162,7056,81,11.35,413.573,37.546868,-122.290231,4,93231
163,7058,85,4.68,4.737,37.409627,-121.997252,3,23244
164,7059,1,18.48,28.707,37.667821,-122.108348,5,93228
165,7060,81,21.19,43.734,37.62897,-122.432885,3,23234
166,7062,85,10.2,22.753,37.266561,-121.948692,3,23293
167,7064,85,0.45,0.45,37.26198,-121.858479,2,23293
168,7067,41,17.04,458.3130000000001,38.053731,-122.530648,4,135
169,7068,1,15.54,25.767,37.630267,-122.083308,4,93228
170,7071,95,5.06,63.093,38.116567,-122.106057,2,23254
171,7073,13,7.06,11.408,37.896274,-122.107979,5,23254
172,7075,81,11.35,413.537,37.546976,-122.290032,5,93231
173,7076,85,5.78,7.162000000000001,37.316378,-121.972052,4,23293
174,7079,95,1.46,59.493,38.070032,-122.126275,2,23254
175,7080,85,8.03,8.082,37.42035900000001,-121.93915,3,23293
176,7081,1,15.68,15.503,37.689523,-122.119266,3,93228
177,7082,85,12.24,24.793000000000006,37.293047,-121.937861,3,23293
178,7084,1,33.35,43.577,37.80565900000001,-122.303914,3,23272
179,7085,13,8.692,22.025,37.999311,-122.28411,4,23254
180,7086,1,42.11,58.188,37.800558,-122.227577,4,23254
181,7087,13,12.24,43.613,37.875017,-122.045018,4,23254
182,7088,41,18.24,458.845,38.069309,-122.538884,4,135
183,7091,13,2.81,3.069,37.997771,-122.03856,3,23254
184,7092,1,42.11,58.34,37.800758,-122.227469,4,23254
185,7093,1,3.47,13.697,37.495016,-121.951359,4,23244
186,7096,1,19.37,29.597,37.677442,-122.118925,6,93228
187,7097,13,7.62,20.953000000000007,37.993511,-122.301607,4,23254
188,7098,81,11.7,12.425999999999998,37.552461,-122.303913,2,93231
189,7100,81,20.96,423.147,37.639474,-122.405195,4,23234
190,7101,1,2.11,32.17,37.529874,-122.093324,3,93231
191,7102,75,2.64,52.613,37.731198,-122.436258,4,23272
192,7103,81,10.72,33.266,37.506335,-122.337198,4,93231
193,7105,1,17.82,28.047,37.659179,-122.10331200000002,5,93228
194,7106,75,3.87,53.831,37.734299,-122.409462,4,23272
195,7107,13,4.05,8.398,37.892701,-122.16068,4,23254
